Epoch,Train Loss,Val Loss,Pixel Accuracy,mIoU
1,2.3011,1.8395,0.4868,0.0597
2,1.3419,1.7414,0.5203,0.0635
3,1.105,1.2017,0.6325,0.0877
4,0.9633,1.1104,0.6802,0.1218
5,0.8874,1.0118,0.7197,0.1493
6,0.842,1.0599,0.7099,0.1541
7,0.7983,1.1345,0.6693,0.1424
8,0.7498,1.059,0.6902,0.1573
9,0.7146,1.1101,0.6686,0.1459
10,0.6848,1.0343,0.705,0.1637
11,0.6384,1.018,0.6994,0.1621
12,0.6335,1.1892,0.6759,0.1547
13,0.5964,0.9781,0.728,0.1807
14,0.5772,1.0821,0.6807,0.1688
15,0.5716,1.0739,0.6687,0.1597
16,0.5687,1.0431,0.7119,0.1732
17,0.5336,1.031,0.7156,0.1697
18,0.5218,1.1887,0.6632,0.1605
